Results Table
Analysis:
Skip lists are more efficiet and faster in terms of execution time as insertion/search is faster than what it would have been if the same list was a singly/doubly linked list. In this 2 level example, I've used 1/2 probability coefficient for element to be on higher level. Even though overall execution time per instruction is faster, it uses lot more memory and we cannot say the same positive comments for memory management.
n		n^3/2		Num of Moves
1716				9868  				0  				870   				0.506993
5858				5864  				0  				1733  				0.295835
7795				1266  				0  				522   				0.066966
6095				3317  				1  				1003  				0.164561
1802				1888  				1  				164   				0.09101
4495				7589  				1  				1739  				0.386874
8483				5834  				1  				2481  				0.292467
7726				4888  				1  				1876  				0.242816
7638				9474  				0  				3605  				0.471982
2915				9281  				1  				1360  				0.466552
9977				423   				1  				248   				0.0248572
2264				7450  				1  				860   				0.379859
8767				3792  				0  				1750  				0.199612
2847				3544  				0  				542   				0.190376
96  				4614  				0  				29    				0.302083
64  				4874  				0  				27    				0.421875
808 				6090  				0  				284   				0.351485
3040				1739  				1  				260   				0.0855263
2633				324   				0  				47    				0.0178504
8497				5637  				1  				2360  				0.277745
5556				2461  				0  				690   				0.12419
8760				7195  				0  				3123  				0.356507
8059				5163  				1  				2120  				0.26306
2732				4215  				1  				614   				0.224744
7560				2008  				1  				780   				0.103175
5412				7549  				0  				2074  				0.383222
4977				2151  				1  				564   				0.113321
9694				7342  				0  				3549  				0.366103
5188				5464  				0  				1428  				0.275251
4156				6719  				0  				1380  				0.33205
7367				375   				0  				143   				0.0194109
7276				7683  				0  				2795  				0.38414
6835				5733  				1  				1962  				0.287052
1389				734   				0  				62    				0.0446364
783 				4559  				0  				196   				0.250319
9521				15    				1  				17    				0.00178553
8781				4769  				0  				2165  				0.246555
5700				9600  				1  				2754  				0.483158
6200				5704  				0  				1814  				0.292581
1563				3775  				0  				320   				0.204734
9632				117   				1  				71    				0.00737126
1234				4421  				0  				276   				0.223663
3354				1845  				0  				324   				0.0966011
7793				5202  				0  				2057  				0.263955
2455				9135  				0  				1157  				0.471283
5886				6500  				1  				1947  				0.330785
4658				9669  				1  				2238  				0.480464
4956				9825  				0  				2379  				0.480024
430 				6960  				0  				146   				0.339535
6724				7629  				0  					 2589				0.385039
8015				6182  				1  				2474  				0.308671
1214				9355  				0  				553   				0.455519
7407				1647  				1  				654   				0.0882949
7519				4313  				1  				1650  				0.219444
9212				2335  				1  				1106  				0.120061
5153				8875  				1  				2345  				0.455075
3664				7102  				0  				1323  				0.361081
3968				1500  				1  				304   				0.0766129
408 				1631  				0  				38    				0.0931373
2512				932   				0  				120   				0.0477707
2035				5919  				0  				598   				0.293857
2390				2927  				0  				364   				0.152301
7725				9452  				1  				3657  				0.473398
9085				2909  				1  				1390  				0.152999
9951				3873  				0  				1852  				0.186112
7370				5573  				0  				2092  				0.283853
7958				4513  				1  				1780  				0.223674
2120				2734  				1  				304   				0.143396
8600				5851  				1  				2536  				0.294884
2565				5984  				0  				764   				0.297856
3053				9368  				0  				1442  				0.472322
916 				7025  				1  				344   				0.375546
6274				6241  				1  				1939  				0.309053
4394				9379  				0  				2087  				0.474966
1614				4109  				0  				331   				0.205081
7355				1311  				1  				485   				0.0659415
4769				5867  				0  				1395  				0.292514
9775				3100  				1  				1513  				0.154783
6632				7502  				1  				2452  				0.369723
1905				3724  				1  				353   				0.185302
7442				663   				0  				215   				0.0288901
5406				2193  				1  				571   				0.105623
3973				8047  				0  				1596  				0.401712
7396				525   				1  				183   				0.0247431
2688				9875  				0  				1331  				0.495164
5356				1384  				1  				399   				0.0744959
1369				193   				0  				27    				0.0197224
6697				9225  				0  				3070  				0.458414
4741				8108  				0  				1926  				0.406243
1821				9225  				0  				835   				0.458539
8378				907   				0  				399   				0.0476247
8278				3342  				1  				1366  				0.165016
2245				8050  				0  				888   				0.395546
1420				6334  				0  				461   				0.324648
647 				1573  				0  				51    				0.0788253
185 				5144  				0  				58    				0.313514
2252				4047  				1  				443   				0.196714
4362				6585  				0  				1481  				0.339523
29  				9098  				0  				23    				0.793103
115 				1574  				0  				15    				0.130435
9724				5965  				1  				2951  				0.303476
2267				1361  				0  				178   				0.0785179
7235				3038  				0  				1145  				0.158258
2444				2461  				0  				307   				0.125614
9243				6329  				0  				2948  				0.318944
3080				9405  				0  				1451  				0.471104
1323				2270  				0  				152   				0.11489
6690				4572  				0  				1578  				0.235874
7553				6927  				0  				2687  				0.355753
9078				4756  				0  				2195  				0.241793
8757				5993  				1  				2647  				0.302272
4431				3084  				1  				719   				0.162266
5988				3891  				1  				1157  				0.19322
90  				8426  				0  				42    				0.466667
1396				4379  				0  				298   				0.213467
1172				8807  				0  				518   				0.44198
4178				9256  				0  				1966  				0.47056
4078				7567  				1  				1525  				0.373958
9703				3852  				0  				1901  				0.195919
8579				5809  				1  				2498  				0.291176
9377				4506  				1  				2101  				0.224059
8892				4368  				1  				1940  				0.218174
9617				3356  				0  				1619  				0.168348
3175				9497  				1  				1489  				0.468976
8004				9650  				1  				3772  				0.471264
8504				4692  				0  				1962  				0.230715
1894				2668  				0  				283   				0.149419
7069				6411  				1  				2251  				0.318433
1756				5183  				0  				452   				0.257403
3058				3796  				0  				581   				0.189993
271 				9973  				0  				158   				0.583026
4273				3630  				0  				767   				0.179499
3578				2439  				0  				450   				0.125769
93  				9176  				0  				55    				0.591398
2502				2110  				0  				254   				0.101519
5708				1277  				1  				373   				0.0653469
3784				6288  				0  				1237  				0.326903
2422				9152  				0  				1104  				0.455822
6432				4528  				1  				1482  				0.23041
2112				4279  				0  				462   				0.21875
1861				9854  				1  				912   				0.490059
5328				3637  				0  				964   				0.180931
3291				1898  				1  				363   				0.110301
1690				1506  				0  				117   				0.0692308
4161				5825  				1  				1176  				0.282624
9248				6409  				1  				2964  				0.320502
6641				5725  				0  				1888  				0.284295
5566				122   				1  				40    				0.00718649
6193				2336  				0  				719   				0.116099
3678				529   				0  				98    				0.0266449
6617				672   				1  				237   				0.0358168
8344				6140  				0  				2604  				0.312081
4880				5900  				0  				1429  				0.292828
133 				6625  				0  				63    				0.473684
7542				6288  				0  				2394  				0.317422
1818				491   				0  				45    				0.0247525
6256				5619  				0  				1715  				0.274137
592 				4345  				0  				144   				0.243243
2589				131   				0  				21    				0.00811124
6774				4677  				0  				1559  				0.230145
9853				9649  				1  				4694  				0.476403
713 				8523  				0  				330   				0.462833
560 				9029  				0  				254   				0.453571
3025				5672  				0  				832   				0.275041
8611				8230  				0  				3605  				0.418651
3226				3380  				0  				567   				0.175759
4830				5450  				0  				1380  				0.285714
4451				3838  				0  				893   				0.200629
1458				8065  				0  				608   				0.41701
773 				8514  				0  				366   				0.47348
8569				71    				1  				35    				0.00408449
6917				7013  				1  				2430  				0.351308
6676				3182  				0  				1001  				0.14994
9959				931   				0  				452   				0.0453861
1677				4549  				1  				362   				0.215862
5445				1695  				1  				458   				0.0841139
5631				2761  				0  				798   				0.141716
7491				5517  				1  				2071  				0.276465
6569				4433  				1  				1519  				0.231238
6441				2650  				1  				847   				0.131501
5458				4978  				0  				1359  				0.248992
1709				9663  				0  				830   				0.485664
9409				8295  				1  				3898  				0.414284
7429				4668  				0  				1739  				0.234083
2328				2019  				1  				257   				0.110395
2736				760   				0  				107   				0.0391082
246 				6883  				0  				90    				0.365854
7907				1595  				1  				636   				0.0804351
5826				2032  				1  				602   				0.10333
8730				4412  				1  				1910  				0.218786
5106				6965  				0  				1834  				0.359185
5521				8273  				0  				2267  				0.410614
9783				7830  				0  				3848  				0.393335
3658				384   				1  				81    				0.0221432
3479				9344  				0  				1584  				0.455303
437 				1978  				0  				79    				0.180778
8484				2194  				1  				953   				0.112329
8206				3351  				0  				1398  				0.170363
6813				9106  				0  				3140  				0.460884
5386				7908  				0  				2138  				0.396955
5737				5701  				0  				1665  				0.290221
8805				9654  				0  				4369  				0.496195
6433				5652  				1  				1757  				0.273123
1950				4095  				0  				377   				0.193333
9973				4182  				1  				2080  				0.208563
8234				3004  				0  				1236  				0.150109
5426				4549  				0  				1236  				0.227792
6009				7426  				1  				2280  				0.379431
5519				1411  				0  				397   				0.0719333
7481				7847  				0  				2930  				0.391659
6466				3608  				0  				1195  				0.184813
3662				9789  				0  				1771  				0.483616
4759				8990  				0  				2197  				0.461652
1243				536   				0  				43    				0.0345937
7273				1201  				1  				446   				0.0613227
5964				3190  				1  				998   				0.167337
3148				7953  				1  				1242  				0.394536
5714				4729  				1  				1340  				0.234512
1280				1706  				0  				106   				0.0828125
3684				8759  				0  				1670  				0.453312
2311				1131  				0  				129   				0.05582
5567				7152  				1  				2005  				0.360158
1676				1299  				0  				107   				0.0638425
7254				3960  				1  				1464  				0.20182
6233				1053  				1  				322   				0.0516605
9051				2860  				1  				1301  				0.143741
1564				3736  				1  				294   				0.18798
5620				463   				1  				133   				0.0236655
8965				3954  				1  				1811  				0.202008
3912				3173  				1  				602   				0.153885
4320				814   				1  				181   				0.0418981
6067				7717  				0  				2308  				0.380419
6905				3158  				1  				1120  				0.162201
2819				9156  				0  				1302  				0.461866
6826				3520  				0  				1227  				0.179754
5115				1650  				1  				452   				0.0883675
2612				512   				0  				69    				0.0264165
594 				4389  				0  				123   				0.207071
599 				2158  				0  				73    				0.12187
9714				8865  				1  				4381  				0.450999
4679				8294  				1  				1970  				0.42103
3356				41    				0  				11    				0.00327771
4171				2208  				0  				489   				0.117238
7405				3691  				0  				1378  				0.18609
8228				317   				0  				164   				0.0199319
7303				4496  				0  				1642  				0.224839
3950				7363  				0  				1470  				0.372152
7900				2200  				1  				890   				0.112658
35  				6703  				0  				14    				0.4
4268				5121  				1  				1060  				0.24836
9785				2093  				1  				1009  				0.103117
3208				835   				0  				160   				0.0498753
4708				7212  				0  				1785  				0.379142
5219				8025  				1  				2056  				0.393945
4963				1835  				0  				469   				0.0944993
472 				3968  				0  				99    				0.209746
4664				9623  				0  				2265  				0.485635
6620				7172  				0  				2426  				0.366465
70  				5554  				0  				29    				0.414286
5075				6205  				0  				1660  				0.327094
6259				6293  				1  				2023  				0.323215
6345				187   				0  				73    				0.0115051
7892				544   				0  				202   				0.0255955
538 				1987  				0  				55    				0.10223
2227				9990  				0  				1140  				0.511899
195 				1675  				0  				23    				0.117949
4378				9748  				0  				2126  				0.48561
4609				2447  				0  				599   				0.129963
4991				2049  				0  				533   				0.106792
5085				3365  				1  				877   				0.172468
5356				2016  				0  				566   				0.105676
7901				9575  				0  				3885  				0.49171
4347				785   				1  				173   				0.0397976
8021				9551  				1  				3834  				0.477995
4116				4901  				1  				1026  				0.249271
6716				5101  				1  				1726  				0.256998
9659				205   				0  				123   				0.0127342
9235				2925  				1  				1391  				0.150623
8769				2812  				0  				1232  				0.140495
2213				6886  				1  				778   				0.351559
6613				154   				0  				47    				0.00710721
8706				1681  				1  				733   				0.0841948
1681				9118  				0  				753   				0.447948
3523				2188  				1  				408   				0.11581
8204				8275  				1  				3413  				0.416017
4574				708   				0  				182   				0.0397901
1005				4688  				0  				265   				0.263682
8318				1894  				1  				809   				0.097259
6856				5418  				1  				1864  				0.271879
8554				8926  				1  				3836  				0.448445
1186				2994  				1  				182   				0.153457
7826				1690  				1  				728   				0.0930233
1092				1375  				1  				84    				0.0769231
5989				2999  				0  				921   				0.153782
7957				6802  				0  				2701  				0.33945
542 				4803  				0  				127   				0.234317
9709				6287  				1  				3096  				0.318879
2011				9592  				1  				966   				0.480358
2221				5520  				0  				627   				0.282305
5972				7993  				0  				2433  				0.407401
8062				9804  				0  				3959  				0.491069
6628				7977  				0  				2702  				0.407664
988 				8432  				0  				435   				0.440283
9552				4589  				0  				2195  				0.229795
2569				133   				0  				24    				0.00934216
3491				682   				1  				119   				0.0340877
3095				9102  				0  				1408  				0.454927
3932				8785  				1  				1714  				0.43591
8777				5158  				1  				2288  				0.260681
4347				1537  				0  				351   				0.0807453
6052				2172  				1  				663   				0.109551
4166				453   				0  				102   				0.0244839
2327				1462  				0  				206   				0.088526
3756				4152  				1  				814   				0.21672
2715				1189  				0  				172   				0.0633517
6121				971   				0  				299   				0.0488482
4967				8919  				1  				2228  				0.44856
4830				9439  				1  				2263  				0.46853
23  				1833  				0  				9     				0.391304
1803				4690  				0  				428   				0.237382
9205				7902  				0  				3571  				0.387941
4342				4373  				0  				937   				0.215799
1290				2407  				0  				159   				0.123256
6009				1884  				0  				597   				0.099351
1660				5022  				1  				422   				0.254217
9197				5532  				1  				2522  				0.27422
4458				3685  				0  				846   				0.189771
7680				8026  				1  				3058  				0.398177
8186				3581  				1  				1495  				0.182629
9351				6008  				0  				2806  				0.300075
7676				4334  				1  				1612  				0.210005
6354				7981  				0  				2483  				0.390777
4615				4617  				1  				1059  				0.229469
7526				1121  				1  				436   				0.0579325
6727				5     				0  				5     				0.000743273
5211				6079  				1  				1581  				0.303397
3677				8682  				0  				1587  				0.431602
382 				1416  				0  				30    				0.078534
9493				6082  				1  				2916  				0.307174
9230				4980  				1  				2302  				0.249404
4357				6520  				0  				1451  				0.333027
9803				8873  				1  				4438  				0.452719
4990				6084  				0  				1507  				0.302004
7261				5980  				1  				2197  				0.302575
2936				7888  				0  				1181  				0.402248
4538				5822  				0  				1365  				0.300793
6822				4453  				0  				1536  				0.225154
9931				951   				1  				469   				0.0472259
9141				9470  				0  				4323  				0.472924
1759				8445  				0  				799   				0.454235
6219				2544  				0  				773   				0.124297
6013				7110  				1  				2069  				0.344088
2318				2225  				0  				260   				0.112166
2543				6718  				1  				825   				0.32442
8054				8536  				1  				3428  				0.425627
6253				1829  				0  				585   				0.0935551
2501				5338  				1  				695   				0.277889
1034				4153  				0  				223   				0.215667
5639				7491  				0  				2084  				0.369569
8009				3868  				0  				1551  				0.193657
5014				5861  				0  				1464  				0.291982
6109				5387  				0  				1665  				0.272549
6455				2947  				1  				958   				0.148412
6461				6500  				0  				2094  				0.324098
8132				60    				1  				41    				0.00504181
4600				365   				0  				78    				0.0169565
4584				438   				0  				105   				0.0229058
7273				4022  				1  				1423  				0.195655
3547				2977  				0  				539   				0.151959
412 				400   				0  				17    				0.0412621
6338				792   				1  				272   				0.0429157
9953				6830  				1  				3398  				0.341405
8866				5504  				1  				2419  				0.27284
4209				4052  				0  				866   				0.20575
1549				8855  				0  				658   				0.42479
4794				1490  				1  				383   				0.0798915
7043				9909  				0  				3490  				0.495527
7826				4408  				1  				1733  				0.221441
6156				7728  				0  				2438  				0.396036
3575				2802  				1  				503   				0.140699
5099				7772  				0  				1895  				0.371641
6301				1035  				1  				323   				0.0512617
6768				3847  				0  				1294  				0.191194
6813				346   				0  				132   				0.0193747
3076				6374  				0  				1003  				0.326073
6738				9198  				0  				3112  				0.461858
3250				4863  				0  				751   				0.231077
3957				8428  				0  				1669  				0.421784
8438				4548  				1  				1878  				0.222565
6153				245   				0  				64    				0.0104014
4933				3428  				0  				851   				0.172512
4997				8946  				0  				2288  				0.457875
1087				4923  				0  				268   				0.24655
4649				2531  				0  				590   				0.126909
5740				9044  				1  				2609  				0.45453
6558				384   				0  				128   				0.0195181
6613				2786  				0  				892   				0.134886
2138				5079  				0  				550   				0.25725
9358				3427  				0  				1622  				0.173328
2048				7672  				1  				805   				0.393066
8346				8496  				1  				3518  				0.421519
4440				3173  				1  				699   				0.157432
5908				8413  				0  				2486  				0.420785
5154				3095  				1  				774   				0.150175
5100				9191  				0  				2363  				0.463333
6043				3965  				0  				1216  				0.201225
6569				9300  				1  				3056  				0.465215
8492				1725  				1  				782   				0.0920867
4886				2153  				0  				519   				0.106222
5260				8575  				1  				2264  				0.430418
6466				1893  				1  				606   				0.093721
8510				1375  				0  				613   				0.0720329
9634				7582  				1  				3664  				0.38032
9866				8196  				0  				3957  				0.401074
4234				4849  				1  				1049  				0.247756
6415				6864  				0  				2285  				0.356196
7195				8361  				1  				2947  				0.40959
7306				5793  				0  				2103  				0.287846
1150				2105  				0  				115   				0.1
8243				9544  				1  				3933  				0.477132
2884				7921  				0  				1168  				0.404993
5892				9486  				1  				2840  				0.48201
193 				3983  				0  				49    				0.253886
1115				491   				0  				29    				0.026009
3847				2736  				0  				527   				0.13699
6156				7796  				0  				2480  				0.402859
400 				3795  				0  				67    				0.1675
8480				7676  				1  				3229  				0.380778
9209				6600  				1  				3121  				0.338908
3497				6990  				1  				1239  				0.354304
3085				5279  				0  				805   				0.26094
9576				1532  				1  				715   				0.0746658
2116				2215  				1  				253   				0.119565
9015				311   				1  				141   				0.0156406
9348				821   				0  				393   				0.0420411
8048				2502  				1  				982   				0.122018
9161				5892  				1  				2641  				0.288287
8784				1753  				0  				796   				0.0906193
3332				9112  				0  				1520  				0.456182
2399				2939  				1  				369   				0.153814
2117				903   				0  				97    				0.0458196
9991				7415  				1  				3611  				0.361425
3840				4614  				0  				894   				0.232813
9750				8269  				0  				3977  				0.407897
1821				7367  				0  				676   				0.371225
8250				8836  				1  				3618  				0.438545
4667				4879  				0  				1141  				0.244483
5837				2819  				0  				839   				0.143738
2025				7660  				0  				775   				0.382716
5241				5086  				1  				1289  				0.245945
3505				3780  				0  				667   				0.1903
6791				971   				1  				322   				0.0474157
3736				9526  				0  				1858  				0.497323
5722				5078  				0  				1465  				0.256029
5708				5556  				0  				1536  				0.269096
664 				4456  				0  				160   				0.240964
2095				181   				0  				28    				0.0133652
6940				1027  				1  				347   				0.05
3229				4053  				0  				656   				0.203159
5619				2917  				1  				883   				0.157145
3177				8861  				0  				1423  				0.447907
9139				6659  				1  				3124  				0.341832
2461				4616  				0  				584   				0.237302
7202				3561  				0  				1289  				0.178978
5582				6971  				1  				1942  				0.347904
4864				3205  				1  				758   				0.155839
7031				1267  				1  				417   				0.0593088
9901				8409  				1  				4212  				0.425412
5220				4163  				0  				1039  				0.199042
3277				9132  				0  				1543  				0.470857
6452				7450  				1  				2337  				0.362213
7988				8292  				1  				3280  				0.410616
1465				2454  				0  				172   				0.117406
722 				8525  				0  				302   				0.418283
1231				5915  				0  				346   				0.281072
9558				6356  				1  				3113  				0.325696
520 				7014  				0  				195   				0.375
3410				2209  				0  				434   				0.127273
5305				5650  				0  				1498  				0.282375
1904				9538  				0  				923   				0.484769
3476				6257  				0  				1062  				0.305524
5754				1294  				1  				375   				0.0651721
5945				5961  				0  				1792  				0.30143
5049				5830  				0  				1457  				0.288572
5672				6192  				0  				1827  				0.322109
7447				592   				1  				217   				0.0291393
3242				7911  				0  				1337  				0.4124
1506				4484  				0  				367   				0.243692
2360				7359  				0  				866   				0.366949
8005				3012  				1  				1207  				0.150781
5585				5746  				0  				1675  				0.29991
8443				1830  				1  				786   				0.0930949
6922				3408  				1  				1156  				0.167004
8110				8089  				1  				3337  				0.411467
777 				5701  				0  				214   				0.275418
4779				7199  				0  				1722  				0.360326
3859				1829  				0  				348   				0.0901788
2162				5088  				0  				587   				0.271508
866 				6863  				0  				327   				0.377598
8500				6529  				1  				2802  				0.329647
2868				8720  				0  				1265  				0.441074
6892				9374  				0  				3204  				0.464887
9344				151   				1  				72    				0.00770548
9   				2863  				0  				4     				0.444444
7752				5028  				0  				2077  				0.267931
3489				1371  				1  				252   				0.072227
3157				2306  				0  				382   				0.121001
3469				8616  				1  				1499  				0.432113
3727				3282  				0  				603   				0.161792
8323				1419  				0  				601   				0.0722095
4636				4167  				0  				978   				0.210958
7420				4393  				0  				1627  				0.219272
4741				8461  				0  				2003  				0.422485
2624				5592  				0  				741   				0.282393
6009				8927  				1  				2717  				0.452155
1663				1963  				0  				161   				0.096813
484 				5850  				0  				141   				0.291322
4470				9220  				0  				2012  				0.450112
9987				8271  				1  				4128  				0.413337
6772				8430  				1  				2904  				0.428825
4535				2008  				0  				468   				0.103197
8440				9382  				0  				4080  				0.483412
3684				7810  				0  				1458  				0.395765
8040				3990  				1  				1553  				0.193159
2090				1899  				0  				188   				0.0899522
5590				40    				0  				14    				0.00250447
599 				3674  				0  				127   				0.21202
6333				3331  				1  				1068  				0.16864
1985				2109  				0  				228   				0.114861
6106				9906  				1  				3058  				0.500819
8086				6952  				0  				2770  				0.342567
118 				7762  				0  				49    				0.415254
8559				1226  				1  				558   				0.0651945
3777				4679  				0  				858   				0.227164
7186				6748  				0  				2427  				0.33774
2543				8928  				1  				1088  				0.427841
2133				6969  				0  				749   				0.351149
310 				3388  				0  				72    				0.232258
6693				5480  				1  				1853  				0.276856
8610				6396  				0  				2796  				0.324739
9453				3477  				1  				1644  				0.173913
9189				9358  				0  				4294  				0.467298
5427				9888  				1  				2688  				0.495301
3359				2823  				0  				499   				0.148556
2756				7695  				1  				1084  				0.393324
4653				4745  				0  				1127  				0.242209
4631				333   				0  				88    				0.0190024
1193				9414  				0  				588   				0.492875
4953				6890  				1  				1705  				0.344236
6551				1659  				0  				514   				0.0784613
7655				8710  				0  				3381  				0.441672
6859				2543  				0  				935   				0.136317
1490				3987  				0  				289   				0.19396
1810				1664  				0  				172   				0.0950276
5551				9737  				1  				2642  				0.47595
9994				6691  				0  				3302  				0.330398
9674				5665  				0  				2757  				0.284991
2046				81    				0  				12    				0.0058651
1696				6538  				0  				551   				0.324882
398 				1469  				0  				35    				0.0879397
694 				7080  				0  				266   				0.383285
3424				7598  				0  				1282  				0.374416
5076				9880  				0  				2523  				0.497045
5996				1576  				1  				451   				0.0752168
9504				7616  				0  				3627  				0.381629
4291				1954  				0  				411   				0.0957819
6460				4188  				0  				1311  				0.202941
7958				6851  				1  				2780  				0.349334
7041				6128  				0  				2126  				0.301946
7257				6256  				0  				2204  				0.303707
8409				4277  				1  				1799  				0.213937
9940				1901  				1  				951   				0.095674
6182				1619  				0  				511   				0.0826593
3489				5167  				0  				959   				0.274864
9917				1053  				0  				515   				0.051931
8289				391   				1  				182   				0.0219568
6027				2047  				0  				637   				0.105691
8366				5237  				0  				2196  				0.262491
8391				6835  				0  				2909  				0.346681
6800				4199  				0  				1407  				0.206912
5795				2512  				0  				762   				0.131493
7900				6356  				1  				2548  				0.322532
5856				4704  				1  				1399  				0.2389
9673				8891  				0  				4319  				0.446501
99  				8077  				0  				40    				0.40404
1497				3149  				0  				234   				0.156313
2646				7511  				0  				1000  				0.377929
6090				3266  				0  				1008  				0.165517
6778				1599  				0  				550   				0.0811449
8804				5594  				1  				2420  				0.274875
8074				1407  				0  				537   				0.0665098
1443				532   				1  				43    				0.029799
8658				8881  				1  				3852  				0.444906
7011				4165  				0  				1372  				0.195692
6487				2116  				0  				698   				0.1076
9483				2506  				0  				1186  				0.125066
5456				1133  				1  				312   				0.0571848
2408				6928  				0  				816   				0.33887
8997				6736  				1  				3045  				0.338446
382 				6972  				0  				157   				0.410995
3108				5342  				0  				831   				0.267375
8633				1697  				1  				759   				0.0879185
4667				9953  				0  				2349  				0.503321
3315				6315  				1  				1075  				0.324284
5595				3061  				1  				824   				0.147274
1455				9040  				0  				688   				0.472852
3148				3286  				1  				495   				0.157243
7730				6340  				1  				2505  				0.324062
1005				7415  				0  				391   				0.389055
1744				2248  				0  				215   				0.12328
1051				5727  				0  				307   				0.292103
5656				1705  				1  				470   				0.0830976
8192				1950  				1  				804   				0.0981445
8700				2101  				1  				941   				0.108161
6049				1737  				0  				519   				0.0857993
9120				8057  				0  				3623  				0.397259
6259				2377  				1  				750   				0.119827
9759				620   				0  				295   				0.0302285
8061				222   				1  				87    				0.0107927
9054				5382  				1  				2472  				0.273028
9882				2340  				1  				1161  				0.117486
7627				9348  				1  				3575  				0.46873
1641				9756  				0  				813   				0.49543
7230				6272  				1  				2249  				0.311065
4688				3502  				0  				855   				0.182381
9477				7170  				1  				3408  				0.359607
5319				6741  				1  				1879  				0.353262
4434				7281  				0  				1588  				0.358142
4661				4272  				1  				1001  				0.214761
9895				5951  				0  				2905  				0.293583
475 				8962  				0  				250   				0.526316
7818				2011  				1  				794   				0.101561
3929				4707  				0  				969   				0.246628
152 				3081  				0  				30    				0.197368
9237				1597  				0  				802   				0.0868247
2924				4112  				0  				578   				0.197674
4574				5840  				1  				1393  				0.304547
7450				7184  				1  				2706  				0.363221
5856				7587  				1  				2180  				0.372268
5526				7088  				0  				1978  				0.357944
6935				1639  				1  				558   				0.0804614
1411				1871  				0  				143   				0.101347
2553				4938  				1  				609   				0.238543
2401				7053  				0  				868   				0.361516
9281				3497  				1  				1625  				0.175089
4613				7467  				0  				1736  				0.376328
1300				5112  				1  				363   				0.279231
8800				7536  				0  				3267  				0.37125
6568				4810  				1  				1535  				0.233709
3533				1986  				0  				371   				0.10501
1818				5694  				0  				503   				0.276678
9639				3218  				0  				1558  				0.161635
2629				1191  				0  				164   				0.0623811
8388				8248  				0  				3485  				0.415474
2076				5504  				0  				582   				0.280347
5835				2628  				0  				727   				0.124593
5800				3411  				1  				1032  				0.177931
8585				1516  				1  				679   				0.0790914
2965				8536  				1  				1293  				0.436088
6875				5671  				1  				1925  				0.28
7411				3550  				0  				1372  				0.18513
3402				9619  				0  				1678  				0.493239
652 				5754  				0  				217   				0.332822
5447				947   				0  				300   				0.0550762
4701				8845  				1  				2012  				0.427994
8513				3564  				1  				1560  				0.183249
9144				411   				0  				152   				0.0166229
4013				5301  				0  				1069  				0.266384
3624				686   				0  				127   				0.0350442
519 				2717  				0  				65    				0.125241
7137				241   				0  				111   				0.0155528
5029				7859  				0  				2037  				0.405051
7264				161   				1  				71    				0.00977423
4090				1924  				1  				425   				0.103912
424 				2372  				0  				67    				0.158019
7401				8230  				1  				3042  				0.411026
1070				7476  				0  				398   				0.371963
6178				562   				0  				169   				0.0273551
3156				3326  				0  				512   				0.162231
4238				6440  				0  				1344  				0.317131
3453				7135  				0  				1230  				0.356212
5252				8272  				0  				2196  				0.418126
8977				4070  				1  				1846  				0.205637
5391				2405  				1  				658   				0.122055
199 				1112  				0  				15    				0.0753769
2554				9441  				0  				1194  				0.467502
6663				5603  				1  				1855  				0.278403
7921				3367  				0  				1348  				0.170181
3559				515   				0  				105   				0.0295027
4591				3935  				0  				898   				0.1956
8979				9491  				0  				4311  				0.48012
9240				356   				1  				168   				0.0181818
3569				6203  				1  				1097  				0.307369
1965				5079  				0  				502   				0.255471
7954				899   				1  				370   				0.0465175
2942				2347  				1  				341   				0.115908
7885				8842  				0  				3498  				0.443627
2197				1086  				1  				133   				0.0605371
9998				7161  				1  				3505  				0.35057
2229				787   				1  				102   				0.0457604
6814				3062  				1  				1030  				0.151159
1769				5494  				0  				480   				0.27134
2844				5143  				1  				703   				0.247187
6947				8126  				1  				2870  				0.413128
848 				6165  				0  				248   				0.292453
5051				7660  				0  				1938  				0.383686
7738				9790  				0  				3793  				0.490178
9612				9836  				1  				4729  				0.491989
2846				2484  				0  				361   				0.126845
2300				5380  				0  				632   				0.274783
2851				7099  				0  				1019  				0.357418
8120				6983  				1  				2837  				0.349384
1259				1277  				0  				103   				0.081811
1310				3653  				0  				270   				0.206107
9872				3671  				1  				1806  				0.182942
5687				6720  				0  				1918  				0.33726
2814				5384  				0  				781   				0.277541
4516				1696  				1  				428   				0.0947741
3974				3612  				1  				733   				0.184449
244 				8664  				0  				116   				0.47541
8884				1956  				0  				851   				0.0957902
1371				1196  				0  				72    				0.0525164
4026				5266  				0  				1049  				0.260556
3306				1188  				0  				193   				0.0583787
8823				3366  				0  				1436  				0.162756
3178				98    				0  				21    				0.00660793
8849				6256  				1  				2819  				0.318567
2419				359   				1  				41    				0.0169492
957 				1099  				0  				58    				0.0606061
1045				1513  				0  				105   				0.100478
9118				775   				1  				344   				0.0377276
6217				9903  				1  				3097  				0.49815
8211				6399  				0  				2623  				0.31945
3546				2793  				0  				491   				0.138466
7611				6792  				0  				2563  				0.336749
3874				2864  				1  				547   				0.141198
1477				963   				0  				74    				0.0501016
9556				4078  				0  				1941  				0.203118
9475				7288  				1  				3446  				0.363694
7559				7217  				0  				2686  				0.355338
83  				6531  				0  				30    				0.361446
4455				7031  				0  				1526  				0.342536
8122				2399  				1  				997   				0.122753
3778				757   				1  				158   				0.0418211
5561				356   				0  				97    				0.0174429
6544				659   				0  				217   				0.0331601
