Results Table
Analysis:
Skip lists are more efficiet and faster in terms of execution time as insertion/search is faster than what it would have been if the same list was a singly/doubly linked list. In this 2 level example, I've used 1/2 probability coefficient for element to be on higher level. Even though overall execution time per instruction is faster, it uses lot more memory and we cannot say the same positive comments for memory management.
n		n^3/2		Num of Moves
8262		750979		26247084
6558		531077		16481909
9881		982203		37498157
1359		50099		786658
4471		298956		7493467
5924		455956		13695344
8200		742542		25225126
3199		180934		4055629
9047		860512		30166655
9529		930189		34126088
8837		830725		28614052
6434		516085		15545421
4087		261280		6187391
3114		173771		3686735
2658		137035		2755066
6165		484060		14219691
6682		546210		16654043
7967		711119		23719402
6995		585035		18820251
481			10549.2		96245
800			22627.4		241591
2913		157221		3302284
9172		878408		31697697
6551		530226		16275029
9976		996402		37164899
9989		998350		37687604
4707		322936		8541888
7260		618593		19841099
2805		148559		3108050
406			8180.67		67401
1720		71333.4		1175171
7357		631032		21209153
5094		363570		10287163
9997		999550		37315725
1093		36135.2		470069
7859		696708		23935393
1680		68859.5		1127812
2113		97129.1		1708874
6538		528649		16167654
1264		44938.7		645771
8990		852392		30642041
9581		937813		34180319
5939		457688		13429779
747			20416.5		231282
126			1414.35		7897
6497		523684		15801931
7204		611449		19827483
4034		256215		6386814
6670		544739		17095104
862			25308.2		307178
8826		829174		30048468
5258		381268		10378320
3864		240190		5698485
6212		489606		14643245
3800		234248		5221618
9790		968666		36074284
9030		858088		30093122
899			26955		314903
7850		695512		23713279
5322		388251		10614780
1690		69475.2		1150140
4843		337032		8613580
2120		97612.1		1806590
6432		515845		15707138
2096		95959.3		1739688
6491		522959		16168638
3507		207684		4816072
8123		732107		24986376
1630		65808.4		1043689
7304		624225		20160683
6649		542169		16244512
4428		294653		7292139
8953		847135		30823235
6345		505414		14995737
8072		725223		25475157
602			14770.5		154534
1589		63341.1		957708
1885		81840.3		1369653
564			13394.3		134976
7786		687024		23727456
6375		509003		15364570
3251		185364		4110498
7427		640059		21306756
4084		260993		6225226
3211		181954		3879266
5465		404004		11410744
7687		673962		22659138
7832		693121		23600890
1603		64180.1		964412
2876		154235		3153406
3955		248725		6101724
1920		84130.2		1431139
7368		632447		20652077
4158		268118		6429846
1367		50542		736108
8646		803939		27613082
5593		418280		11930893
3720		226890		5323006
5297		385518		10553212
2107		96715.7		1730018
7350		630131		20461366
6557		530955		16171595
7500		649519		21023469
5807		442515		12930977
4762		328613		8398512
1624		65445.4		923957
992			31244.1		371438
7770		684907		22539581
821			23524.2		261826
1607		64420.5		1033365
2373		115597		2187610
5299		385737		10500980
7204		611449		19271822
4051		257836		6402540
8303		756576		26770905
1502		58211		861389
9518		928578		33322946
7217		613105		19924650
6233		492091		14576855
6678		545720		16244451
9323		900189		31740699
2417		118827		2273213
3543		210890		4847233
3918		245243		5895284
152			1873.98		10690
1547		60846.5		959881
6546		529620		16350457
6761		555925		17564583
580			13968.2		139173
8477		780483		27414827
459			9833.75		80611
4181		270346		6768100
9997		999550		37415362
6447		517650		15516897
6501		524168		15879880
5004		353978		9714690
7059		593082		18614886
5112		365499		9743616
5207		375735		10274056
331			6022.02		44604
6633		540213		16493351
2398		117429		2144204
2448		121120		2267500
3202		181189		3707295
5514		409449		11505239
451			9577.78		74562
6890		571912		18199529
7921		704969		24210457
5579		416711		12234285
2857		152709		3142298
7389		635153		20329730
3390		197378		4129477
4644		316474		7958929
8687		809664		29194825
6168		484414		14601422
5765		437723		12509735
8254		749889		25536997
9229		886609		32591889
6086		474786		14603673
7527		653030		21600489
5010		354615		9832209
8658		805613		28564335
5279		383555		10596428
2988		163332		3501368
9801		970299		36406477
8897		839200		29636997
9052		861225		30339418
4949		348158		9009045
5002		353766		9566969
4108		263297		6319909
6304		500523		14986806
2408		118164		2248277
7723		678702		21892718
9446		918062		32890859
3897		243274		5703717
4400		291863		6959816
7230		614763		19603288
8741		817225		29087029
1595		63700.2		977310
6026		467782		13888555
5903		453533		13621959
9666		950321		34896819
1867		80670.8		1365684
6482		521871		15811895
2663		137422		2736421
3443		202025		4550594
499			11146.8		95905
1290		46332.4		665415
1489		57456.9		907055
6675		545352		17001534
7336		628332		20307359
2466		122459		2229520
3727		227530		5260931
8982		851255		29510351
7996		715005		24022940
2447		121046		2237470
4145		266862		6572855
7173		607507		19367900
15			58.0948		246
5197		374653		10389122
5789		440459		12755531
2448		121120		2270325
9325		900478		32640191
3211		181954		4041247
8794		824669		28901002
5896		452727		13182845
4940		347209		9463668
3758		230375		5240531
1317		47794.6		665842
9207		883440		32537751
2346		113630		2045551
3443		202025		4408736
8314		758080		26240008
8749		818347		28490700
9285		894691		32780338
221			3285.4		19628
5908		454110		13171409
6656		543025		16797270
9080		865224		30886094
9740		961255		35589433
513			11619.2		114823
4637		315759		8209999
3634		219067		5151398
1003		31765.2		400558
2720		141858		2781602
8377		766713		26323577
2063		93702		1626879
8147		735354		24931755
3004		164646		3476891
1851		79636		1369407
8532		788091		27855451
5985		463016		13281784
1304		47088.7		657451
9905		985784		37295719
9676		951796		35599261
5490		406779		11583945
9938		990714		37871552
5380		394615		10676200
2661		137267		2732220
2961		161123		3308510
5138		368291		9871741
784			21952		240144
5977		462088		13601973
2729		142563		2911848
5111		365392		9609285
433			9010.15		79147
902			27090		303373
4754		327785		8788599
3705		225519		5120920
8847		832135		29653470
3627		218435		4864697
8579		794612		27720331
1748		73082.3		1178235
530			12201.5		116839
8788		823825		28833319
1290		46332.4		699458
1288		46224.7		633156
940			28819.9		345686
1324		48176.1		670921
6176		485357		14659368
958			29651.6		397005
7533		653811		21474562
3746		229272		5419417
4647		316781		8472584
7144		603826		19586393
1524		59494.6		898523
8958		847845		30173122
3816		235729		5646456
4438		295652		7721908
8615		799619		27759564
8785		823403		29288075
5932		456880		13254606
6686		546701		17078887
9013		855666		31047871
6602		536430		15741133
6395		511400		15745211
6647		541924		17169525
5908		454110		13149530
8804		826076		29697831
2680		138740		2662477
8977		850544		30774833
4657		317804		8201119
5211		376168		10725647
7188		609414		19424216
6659		543392		16567350
2968		161695		3392574
3245		184851		3977499
2225		104953		1893170
4276		279612		7000482
7506		650299		20945226
7462		644589		21284625
8491		782417		27751392
9835		975352		35061334
9770		965699		35656549
3172		178649		3929827
7782		686494		23575336
6287		498500		14760503
5464		403893		11644561
8671		807428		28621383
2343		113412		2147421
4663		318418		8464270
2364		114940		2075874
2453		121492		2356970
78			688.877		3001
7334		628075		20282416
996			31433.2		398541
2591		131887		2660906
7053		592326		18562941
8404		770423		26323416
1785		75414.9		1225119
3760		230559		5609230
3889		242525		6010874
939			28773.9		333680
3526		209374		4918214
4743		326648		8367371
4767		329130		8425994
474			10319.7		92663
5345		390770		10947398
1253		44353.4		583805
577			13860		132824
2113		97129.1		1782379
725			19521.2		210873
4873		340169		9245180
880			26105		311234
5787		440231		12619244
4825		335155		9241551
1930		84788.3		1403350
3757		230283		5253371
117			1265.55		6549
1534		60081.1		929121
8269		751934		25301105
1464		56015.9		827263
5253		380725		10223240
4878		340693		9229163
4137		266090		6580989
32			181.019		682
8145		735083		24725927
8226		746076		26472177
1339		48997.2		709376
7396		636056		20739579
4109		263393		6241575
472			10254.5		96154
5988		463364		13648008
1601		64060		992425
3422		200180		4454513
4686		320777		7860028
5845		446865		13052235
4850		337763		8874493
7631		666611		21377415
6853		567311		17362846
4290		280987		7034349
5314		387376		10879868
8424		773175		26352377
1966		87171.7		1502726
5470		404558		11263449
6320		502430		15399740
6323		502788		15250938
8650		804497		28192730
7292		622687		19879029
8969		849407		30544383
6543		529256		16650266
1212		42194.3		626196
5055		359403		9610086
5919		455378		13167600
7668		671465		22442627
5511		409115		11660140
5233		378552		10566099
4263		278338		6736332
9203		882865		31368741
3567		213037		4781257
8553		791002		27758897
9970		995503		37685052
9114		870089		32195011
7307		624610		20940692
5753		436357		12607511
2762		145156		2857984
5475		405113		11792426
7042		590941		18998216
5598		418841		11704303
9041		859656		30972670
796			22457.9		245964
1919		84064.5		1389192
9832		974906		35930413
5667		426609		12169556
3934		246747		5738258
5787		440231		12674381
7680		673041		22439413
1237		43506.5		595780
2208		103753		1952177
8243		748390		26615667
4409		292759		7491195
7939		707373		23756458
6838		565449		18027368
907			27315.6		324468
3786		232954		5530463
4144		266765		6495499
5393		396046		10542630
8119		731567		25149487
2965		161450		3390412
2727		142406		2701107
3791		233416		5194322
4244		276480		7100882
166			2138.76		12705
1399		52327.1		775276
8254		749889		26013402
5751		436129		12518220
5426		399687		11010806
3176		178987		3787045
1987		88572.1		1569402
2631		134953		2645134
610			15065.9		142322
3064		169603		3526748
7256		618082		20171131
5560		414584		11224504
6443		517169		15491852
3133		175364		3760287
6666		544249		16754547
8279		753298		25510635
4927		345839		9408205
2870		153753		2986061
6000		464758		13761181
2274		108439		2125361
3574		213664		5006947
5260		381486		10767586
5931		456764		13506097
941			28865.9		366543
9421		914420		33196955
1438		54530.4		845088
8342		761913		25480937
9613		942515		35833378
5322		388251		10500530
6410		513200		15821296
3741		228813		5317005
2274		108439		1931390
1551		61082.6		923073
115			1233.24		5528
7321		626406		20265436
8439		775241		26568017
4736		325925		8719374
9976		996402		38321613
4380		289875		7435582
2166		100806		1817816
1603		64180.1		967160
2776		146261		2915946
5276		383228		10652495
7917		704435		23512473
8743		817506		28522238
2404		117870		2221295
6139		481002		14211897
8259		750570		25774014
3021		166045		3431463
4249		276968		6809285
9962		994305		38065292
8920		842456		30260712
5780		439432		12638552
6533		528043		16292079
6439		516687		15669799
2456		121715		2237358
9378		908166		33382176
765			21158.9		228469
6913		574778		17845403
2905		156574		3142371
8304		756713		26200895
1048		33926.7		410942
9203		882865		30773089
1645		66718.9		1017922
8102		729270		25226988
3867		240470		5627725
6554		530591		16135805
6471		520544		15796029
3519		208751		4735971
7888		700568		23223597
5390		395716		11269176
6389		510681		15685230
7489		648091		21231444
9356		904972		33157158
3683		223513		5095665
2374		115670		2191273
6360		507208		14913879
6690		547191		17008027
7263		618976		19353891
2958		160878		3457221
7171		607253		19178200
7385		634638		20757202
2465		122384		2314601
3007		164892		3546935
9523		929310		33686701
3412		199303		4475582
1257		44565.9		608343
5589		417831		11802741
199			2807.24		19060
9208		883584		31854745
6911		574528		17978918
2796		147845		2822951
9473		922001		34831826
546			12758.2		130385
2006		89845.5		1535613
631			15850.5		156448
6208		489134		14728877
3509		207862		4529594
4979		351328		9051045
3329		192075		4316072
9977		996552		37566342
8708		812602		28125547
9879		981905		36626968
2181		101855		1858320
5766		437836		12831572
3198		180850		3944917
2254		107012		1900826
882			26194.1		291262
4559		307825		8031760
290			4938.52		37195
3031		166870		3591935
1487		57341.2		861119
6701		548541		16708152
7196		610431		20106329
2607		133110		2517689
3852		239072		5620439
8708		812602		28590300
8937		844866		30771099
8043		721319		24554848
2346		113630		2064988
268			4387.35		30629
5972		461508		13630025
2175		101435		1848192
1986		88505.2		1550213
2382		116255		2132071
6208		489134		14179224
1136		38288.4		515953
8451		776895		26884317
641			16228.8		169470
5413		398251		10877867
6211		489488		14558002
6824		563714		18025695
5648		424465		12392112
4518		303682		7800724
3984		251466		5763528
6802		560990		17412102
6870		569423		17597750
710			18918.5		193769
5218		376926		10279959
7110		599521		19065243
7435		641094		20848403
1200		41569.2		531099
7306		624481		20380375
6378		509362		15573407
5906		453879		12939197
8800		825513		28675949
5586		417495		11928590
1284		46009.5		649794
8205		743221		25897858
6151		482413		14432263
2474		123055		2380059
2378		115963		2136995
567			13501.3		128639
3882		241871		5647144
7554		656546		21235412
3775		231940		5241366
5616		420863		11976548
4503		302171		7712835
4956		348897		9014313
6789		559382		17231483
452			9609.65		90996
1991		88839.7		1508478
6019		466967		13333453
8843		831571		29651049
6353		506370		14831252
3237		184168		4093335
361			6859		46059
5233		378552		10482610
1959		86706.5		1452956
8573		793778		27581186
5622		421538		12176158
9933		989967		36453746
5656		425367		11739238
9897		984590		37381932
9593		939575		35523437
493			10946.4		99456
3592		215280		5035448
1578		62684.5		929005
1183		40689		552755
7665		671071		22621584
1532		59963.7		932025
4352		287100		7118979
8963		848555		29880129
5471		404669		11360998
1798		76240.3		1234828
2435		120157		2308087
6466		519940		15401011
188			2577.73		15821
5905		453764		13250495
4826		335259		8949826
3966		249764		5778371
577			13860		150528
1791		75795.5		1142460
5567		415367		11674525
8474		780068		26131765
7584		660461		21463731
8356		763832		26441965
629			15775.2		148904
7737		680548		22596071
7587		660853		21809416
9763		964661		36017070
6563		531684		16467727
3793		233601		5402871
8429		773863		26795565
9736		960663		35781611
5878		450655		13291196
1328		48394.6		645967
1053		34169.8		398828
2592		131963		2681733
7825		692192		22512285
7321		626406		20332100
1187		40895.6		558882
2910		156978		3326205
2517		126277		2518173
1243		43823.5		586715
4441		295952		7763274
5996		464293		13857031
2045		92478.3		1629763
3816		235729		5689655
6784		558764		17638264
6549		529984		16796636
8363		764792		25811014
6423		514762		15755644
1906		83211.7		1409021
4944		347630		9590754
6651		542413		17228465
1465		56073.3		860244
8040		720915		24273636
7559		657198		21314619
8313		757943		27306283
4860		338809		8770534
1503		58269.1		934129
9313		898741		32912208
1992		88906.6		1576682
8185		740505		25088591
4689		321085		8243950
9519		928725		34375203
9551		933412		34728876
1215		42351.1		599849
9378		908166		33128224
5247		380073		10539113
8855		833264		29448646
8159		736979		25099015
7442		641999		21313515
4358		287694		7052668
1155		39253		506547
9377		908021		33481134
9353		904537		32425038
382			7466.12		59162
5139		368399		9966799
7200		610940		19585895
5902		453418		13157489
7066		593964		18503548
1078		35393.9		438026
9276		893390		32301850
3425		200443		4377674
4640		316065		8297946
3326		191815		4252141
4511		302977		7927723
6651		542413		17007879
2081		94931		1589647
9240		888194		32035851
8223		745668		25610004
6260		495292		14815829
9297		896426		32871771
2521		126578		2534821
8708		812602		28814171
48			332.554		1674
4155		267828		6312391
7321		626406		20295414
7966		710985		24372605
929			28315.5		346281
9114		870089		31965934
4598		311784		8228844
2637		135415		2609040
8932		844157		30061553
5381		394725		10865032
8430		774001		26092928
3290		188710		4065638
2124		97888.5		1763562
6746		554076		17201142
8968		849265		30080920
8087		727246		24417585
6845		566318		18179677
5832		445375		13098856
9063		862796		30945285
5696		429888		11967054
187			2557.19		15690
7909		703368		23780013
4592		311174		8135640
6250		494106		15347409
4709		323142		8669238
2325		112107		2101663
7810		690203		23017068
7947		708443		24046865


Below is a table of # of comparisons per list per value. Lower compariso ratio is better as Comp Ratio of 1 = Worst Case linear search. As you can see, some of the operations have comparison ratio that is less than 0.1.

Comparison Table
# of Elements		Searched Value		if found		# of Comparison		Comparison ratio (comp/n)
6808				1590				0				588 				0.086369
8147				3066				1				1247				0.153062
8438				7651			 	1				3224				0.382081
698 				97   				0  				7     				0.0100287
780  				6827  				0  				260   				0.333333
3759 				2455  				0  				469   				0.124767
4576 				9397  				1  				2146  				0.468969
4446 				8530  				1  				1867  				0.419928
7594 				5586  				0  				2053  				0.270345
933  				7758  				0  				385   				0.412647
2543 				8034  				0  				1042  				0.409752
2304				9256  				0  				1080  				0.46875
8058				5076  				0  				2068  				0.256639
6055				5486  				0  				1685  				0.278282
3969				681   				0  				145   				0.0365331
2244				9206  				0  				1042  				0.464349
1442				5782  				0  				434   				0.300971
9406				2312  				0  				1083  				0.115139
4803				2794  				1  				645   				0.134291
5752				1998  				1  				567   				0.0985744
4469				1245  				0  				316   				0.0707093
4955				7025  				1  				1722  				0.347528
9198				8596  				1  				4012  				0.436182
417 				4461  				0  				94    				0.22542
6085				1632  				1  				502   				0.0824979
9672				3847  				1  				1923  				0.198821
8756				226   				0  				114   				0.0130196
5998				9335  				0  				2778  				0.463154
2063				7025  				0  				754   				0.365487
2494				4678  				0  				619   				0.248196
4976				1760  				0  				419   				0.0842042
2663				1908  				0  				248   				0.0931281
9193				5192  				1  				2400  				0.261068
9236				5949  				0  				2760  				0.298831
7485				2408  				0  				899   				0.120107
5772				2290  				1  				721   				0.124913
8548				2210  				0  				902   				0.105522
5517				9857  				1  				2695  				0.48849
1183				1285  				0  				77    				0.0650888
4579				3523  				0  				830   				0.181262
249 				3149  				0  				52    				0.208835
278 				1813  				0  				31    				0.111511
4004				9269  				0  				1852  				0.462537
194 				8684  				0  				89    				0.458763
9098				7054  				0  				3237  				0.355792
3452				4880  				0  				866   				0.250869
2329				6980  				0  				810   				0.347789
542 				8151  				0  				226   				0.416974
7861				6695  				0  				2692  				0.34245
9112				7523  				1  				3414  				0.374671
7407				5116  				1  				1920  				0.259214
6789				9809  				1  				3377  				0.497422
2430				7832  				0  				995   				0.409465
928 				3994  				0  				187   				0.201509
7835				1365  				1  				509   				0.0649649
737 				8675  				0  				332   				0.450475
8536				1014  				1  				418   				0.0489691
6984				2295  				1  				758   				0.108534
28  				4178  				0  				11    				0.392857
4317				2182  				0  				455   				0.105397
4374				583   				0  				156   				0.0356653
688 				5578  				0  				188   				0.273256
3875				1404  				0  				278   				0.0717419
7459				7651  				0  				2877  				0.385709
9848				574   				0  				283   				0.0287368
2029				3726  				1  				360   				0.177427
7765				6192  				1  				2425  				0.312299
9046				8776  				0  				3914  				0.432677
4966				4415  				1  				1104  				0.222312
6451				2327  				1  				746   				0.115641
8830				4924  				0  				2182  				0.247112
4166				6406  				1  				1366  				0.327892
620 				4796  				0  				180   				0.290323
9880				1779  				0  				929   				0.0940283
7805				8154  				1  				3214  				0.411787
1837				95    				1  				15    				0.00816549
3991				7064  				1  				1449  				0.363067
6897				7135  				1  				2456  				0.356097
3793				7404  				0  				1373  				0.361983
7724				7263  				1  				2793  				0.3616
3012				5269  				1  				827   				0.274568
9250				3511  				1  				1616  				0.174703
7588				5938  				0  				2253  				0.296916
1976				3086  				0  				278   				0.140688
1406				4939  				0  				347   				0.246799
4201				9004  				0  				1986  				0.472745
3249				4361  				0  				713   				0.219452
9211				1328  				1  				627   				0.0680708
